"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86"
"1","作者 趙二虎看板標題無雷 星際爭霸戰快搭上末班車體驗一下時間     ","激愛鄔瑪舒曼大爆男友性事"," 發信站 批踢踢實業坊","大家提心吊膽的很莫名阿  就像看到路上有人不是瞎子  卻要閉眼睛過馬路阿","→ 我倒覺得這部拍的比之前好  ","→ 你沒工作  ","→ 整個很敷衍的感覺  ","姐姐也教他奧義","飽飽漂流社群重點並不是擺在小孩去哪了而是在表現青少年與成人的思想對比","","法國電影界圈內鬥爭從來不公開業內可以鬥得你死我活但水下翻天覆地水面風平浪","邊是代表舊傳統舊體制一邊是代表新潮進步這種切割法特別易於接受只要劃出","章子怡會不會讓劉嘉玲以入圍此單元的過界封后則成了今年坎城貽笑大方的插曲之","推 是續集嗎 不是獨立的嗎  ","無法回答我甚至認為現在互聯網包括微博所有的這一切都還在路上你不知道未","◆  ","推 大亨小傳～很細心又很有餘韻的好電影  "," 從對白說起  總是沒頭沒尾  在不準確的時機把經典台詞硬塞進去"," 蜘蛛人驚奇再起","","","→ 路指的是靠兩條腿吧                                    ",""," 發信站 批踢踢實業坊 ","","陰謀論席捲法國    ","在美國造成轟動的聖經迷你影集以全新剪輯精華版上戲院可以再吸引一批在電視","推  當年一堆人衝 台北首週末票房冠軍  ","他透露這部電影已經策劃年了他坦言自己不再年輕只能更努","→ 曾志偉的小警察  ","可是想一想在大學的時候就有比較不迷惘嗎","再者第二場魔術時四騎士是將錢轉進了觀眾的帳戶而不是向第一與第三場般灑","推 個人覺得場面華麗 題材新鮮 但重點帶的太粗糙 以及結局失望  ","","","我會很怕在一個陌生的環境中我會很害怕不習慣不適應但我要多拍這樣的電影","乓球做一些我自己的事情總之不想跟電影有任何關係","→  說的是平行世界 不是虛擬的  ","見還有個完整的家庭但在片中的意外事件發生後膽怯的他讓自己的道德觀","推 這部片可以順便教公民課很好阿  ","推 火戰車  ","我還是對台灣演員有信心","→ 一個台詞少到只有句還能有那麼強烈存在感的演員除了梁  ","自己改得愈來愈接近人類的旁枝末節有些人一聽到主題是風花雪月就翻白眼","網路上的評價聽說不錯","推 臥虎藏龍的發哥我覺得還好而已講中文對他來說還有點吃力  ","作者 新天堂樂園看板標題 線上看片 介紹網路上可看的紀錄片時間     ","果養到魚都死掉了我發現這個興趣會害死魚我就放棄了我很怕拍電影這個興趣有一","聊聊梁朝偉跟梁家輝","→ 梁朝偉的仙鶴神針新難兄難弟都很好笑笑中帶淚  ","→   文  ","→ 人內褲裝是超人自己的風格  ","忽然認真想想好像香港都是男演員的天下","→ 苑瓊丹  ","推 蕭芳芳也很讚  ","部最新出籠的大片比如塔倫蒂諾的殺死比爾和一部黑白舊片的票價是一樣的","","但實際上花大價錢買下坎城街頭的廣告就是相互間攀比一番瞧我的廣告比","阿信和阿艾這位死黨戰爭結束後小邁帶著四個朋友回到老家帕卡儂還介紹小","所以浩克是在死會活標嗎","◆  ","我還沒讀過小說但就很多翻拍電影來說我相信小說絕對不亞於電影","視動畫並出口到世界其他國家","推 一開始隱心術的設定不錯啊  ","噓 純噓樓上配額限定曝光量少難改變觀影口味才會有  ","非常非常感動","","推 真的很無聊的片  ","","","噓 的人生 他現在很後悔  ","→ 以上部份書有寫到  ","推 山繆的南方黑人老爹演得超好 好幾次決哥言行都快讓他爆氣  ","推 不曉得這部有沒有強卡特一拼的強度  ","","","","奧斯卡影帝入圍布萊德利庫柏作品不斷　","推 應該是威爾史密斯砸錢幫他兒子推知名度的電影   ","的出現又拍了第四集回到過去接續了第一集的尾巴第五集來了一","噓 你的老周是醉後的老周如果是的話他也是台裔韓哥才是韓裔  ","女性角色衝突力十足演技更絲絲入扣令人動容她從來歲大談浪漫姊弟戀的懷春","然後想起曾經發生過的事情像是看到校車經過想起自己小時候救過校車","每晚我都做同一個惡夢追著同一個小白臉手中緊握著要捅進他胸口的木樁","→ 拉賓就是有點叛逆那位長得有點像班艾弗列克  ","推   在裡面的角色太讓人失望  "
"2","","賈斯汀隆演搞笑羅賓圓英雄夢","◆  ","","→ 角色性格比較討喜吧  ","→ 嗚嗚我沒工作  你要僱用我嗎  ","噓 邏輯太弱 回文筆戰完敗  ","然後嚇醒他","如同開頭的第一句話只有小孩用好奇眼光看世界大人用好奇眼光看小孩父母要是","新任蜘蛛人安德魯加菲爾德已確認接演沉默裡的葡萄牙傳教士路透","靜不似中國電影人可以從內吵到外不擅遮掩這一方面是這個國家各行都有嚴厲的行","新與舊的對抗人便被挑逗得蠢蠢欲動尤其在一個國家歷史變革的時期","一","→ 好像是續集耶   可以像奪魂鋸拍個集嗎   ","來的通訊技術人的交流溝通能先進到什麼程度電影不也是這樣嗎我現在已經大量","推 褲子還在路上  ","推 我也想等一下去看大亨小傳有人想一起的嘛  "," 前面三集厲害之處在於  醞釀許久在張力即將滿點時  一句經典台詞將張力迸發",""," 發信站 批踢踢實業坊 ","","                        請問 從清大正門到人社院     ","亞歷山大斯卡加德","◆  ","","梅桑訪談上中下  紐約街頭與  的交談","首播時錯過的觀眾不失為開發新財源的妙招","→ 嚇破膽算不算熱銷 最高有衝到全美第 台北第  ","力訓練自己吃東西也要很講究休傑克曼說我打給好友巨石","→ 麻雀飛龍的小黑  ","","現金阿警察叫銀行凍結帳戶把錢轉回來不就好了阿福誤你是在消沈什麼 ","→ 四騎士的組成應該是說夠優秀的魔術師才有機會加入天眼  ","一個衰老的生命看見了嶄新的生命從死亡中看見了一現光芒","梁朝偉我覺得這個完全是緣分拍電影本身就是一種緣分很多東西不是你可以安排的","讓自己重拾信心你常常在一個安全的環境下其實這樣是很危險的","","→ 光是把原始碼抽出來實現就已經是科幻情節了怎麼還要合  ","念逐漸妥協先是隱瞞自己做錯事再忍耐身邊其他警察的墮落連對自己兒子","推 怪客跟十月的天空都很適合鵝毛筆的話就  ","→ 長跑者的孤寂霹靂鑽跟運動沒啥關係但主角喜歡跑步  ","男的張孝全彭于晏王柏傑","→ 朝偉在阿正傳的神級演出外我還找不到第個仔仔是最  ","而我不得不承認他們這麼不屑確實有點道理因為人性裡頭許多複雜而微妙的感","","推 從不覺得古天樂有演技  這些演員在演電視劇時更有發揮  ","轉貼自   紀錄片資料庫  臉書","天也會突然消失我想在自己興趣最濃烈的時候把這件事情做到自己最期望的程度為止","","","推 梁朝偉絕對不是言過其實而是幾位大明星都有可能達到那種  ","推 就讓大家不要注意他的臉以便掩藏身份 影集    ","努力的想想出幾個在不同作品中完全讓影迷感覺不到是同一個人演的女生代表","→ 香港電影圈的人脈吳君如只比劉嘉玲差一點點  ","→ 莫文蔚呢  ","這一切都使情形變得越來越複雜其次電影票房普遍在下降金棕櫚也不例外因為","鄭若麟邊芹這股回潮是否也意味著作家電影正處於危機之中事實上我們經常可以","你大服氣吧而隨著經濟危機的來臨這種廣告大幅下降過去有一段時期人們把錢","奈母子給他們認識此時鄰里間卻傳出小奈母子早已難產而死的流言隨著傳話者離","","推 片中有兩場風吹草枝擺的畫面美得很蘇胡  ","改天來看看～","","→ 給禿鷹一個讚  ","→ 片有啥好看的印象過度保護就是揠苗助長台灣不像日  ","","","推 有笑有讚總覺得他們說的家人情感越來越薄弱  ","為了聯繫方便五個人又合計著要湊錢買一個傳呼機那時王寶強真是除了大哥王建永給"," 請描述欲尋找電影的類型或特徵請盡量描述清楚","推 臥虎藏龍 斷背山 少年  ","所以那段是這樣囉蓮實發現老闆的把柄 但反被老闆威脅","推 演的好不好是看觀眾有沒暴氣吧  ","→ 看在他父子檔這麼親民的份上我決定到時後租片  ","    這種出乎我意料且猜不透的發展","任誰都會希望自己能帶給自己的爸爸榮耀跟驕傲","血就這樣一點滴滴的流失","末路車神突破個人生涯演技","推 我是傳奇很好看耶   這部應該 尾燈都看不到  ","個大家回娘家看完第六集才知道又接回第三集的頭要有經費和","推 樓上火氣超大老周是韓裔好嗎  ","少女演到多歲因為沒有奶水哺乳而哭泣的半老徐娘她並為戲犧牲色相放任化妝","","但每一個晚上我總在釘死那個混蛋前就醒了                    刀鋒戰士","→ 厄本有一直移動阿 到處躲  ","推 我完全同意你說的亮點部分  我快變吸吸昂了  "
"3","今天去看了我們這裡最後一場 ","","推 原來父子兩是迫降在島難怪要來這裡作宣傳  ","","推 我前幾天看完也覺得超囧的除了男女主角比較好看之外根本  ","→ 看過舊版的關係吧 新版的蜘蛛人好廢  ","噓 臨表涕泣  ","","真的能與小孩毫無距離交流那兩代電力公司爸媽冏很大這種節目就不會出現電","","規我稱之行業恐怖主義好聽的叫法則為團結或合作主義","","","推 第一集有嚇到難得被嚇到  ","使用數位攝影機拍攝從三槍開始我就使用數位攝影機金陵十三釵中一半數位","推 去當通告藝人算了  ","→ 昨天去看了地球過後 真心覺得是爛片  "," 而這次重拍  能力越大責任越大  老人像是隨口嘮叨依樣說完了","簡單一句話 就這電影不適合你 哪來這麼多可以講錯的評論","◆  ","魔女嘉莉","","","推   ",""," 法國畢加爾諷刺官版的相聲  ","","→ 活人生吃吧預告前分鐘 超好看的  ","強森他給了我一些很棒的飲食建議因此我也很氣他因為一天","推 計畫還是奇蹟呀　有點忘了  ","沒有的還是一邊迷走一邊清醒","","→ 因此他們四個一拿到牌卡才會覺得高興想完成這些任務吧  ","","其實我是很想演喜劇的尤其最近這幾年可能是因為年紀大了希望每天都開心開","","","→ 理他呢囧  ","都沒辦法負起責任根本不想面對只不過畢竟他不算完全泯滅良心的人多年","推 怪客很棒 但感覺高中生看比較適合  ","推 天堂的孩子  ","女的天心柯佳嬿","→ 可以期待的至於口條能改最好改不掉對電影來說其實影  ","受並不是用強烈的愛情訴求就能概括收攏的然而這部電影卻試圖這麼做電","","推 郭富城  ","","我的下一部電影我自己把它視為我最後一部電影電影真的很好玩但是好累我意","私心投梁家輝一票","作者 阿水看板標題情報戀戀海灣今年暑假最陽光的國片時間     ","→ 高度但好的機會梁朝偉都抓住了其他人運氣稍差  ","→ 第一集有說明 一切都是克拉克他媽的陰謀  ","不知道怎麼搞的忽然一下也想不起來 ","→ 推吳君如的狀態更盛以往～  ","推 劉青雲他老婆呢 我忘了名字 印象中他也不錯  ","電影面臨著越來越激烈的競爭首先就是電視的競爭當我剛在坎城擔任選片時法國電","看到這樣的現象受到批評家好評的電影卻在電影院裡遭到觀眾的抵制觀眾與影評之","從視窗扔出去連眼睛都不眨一下現在這種現象已經結束相反人們給我們打電話","奇死亡小奈的舉止越來越詭異心急如焚的四個麻吉將以只要從胯下往後看就","","推 這部沒在戲院看的話太可惜了  ","推 朋友一直推這部但看電影實在覺得有點悶的感覺  ","","→ 給開司一罐啤酒  ","推 本內需強大如果國片只會用封閉來保護國片那每個導演  ","    首先在技術上本片極力在顧及畫面的前提上營造出傳統遊戲的氛","","推 推最後一句  ","他的那元種子錢以外再無錢了怎麼辦啊大家都窮這筆錢他不能不出啊","","推 為愛朗讀  ","還幫老闆殺了一個人 也就是那畫面剛開始吞槍自殺的人","→ 對阿 所以為什麼他要裝跛腳 總不會只為了鋪這個梗吧  ","推   ","","","","","→ 這部尾巴跟身體斷成兩截  無誤  ","足夠的精力拍出這樣的故事也只有好萊塢才辦的到","推 同意原看法看開心就好不要太強求劇情  ","師幫她畫上寫實老妝讓皺紋眼袋通通上身不僅成功營造飽受風霜堅毅果敢的單","和打得天翻地覆毀天滅地的 和 比起來整個 的步調","","推 真的很想斃了厄本做事最忌不知輕重者  ","→ 但是我覺得沒那麼不堪啦 至少把手銬變到浩克手上還滿屌的  "
"4","看完只後悔自己太晚看這部了","好萊塢知名女星鄔瑪舒曼 以成名作追殺比爾中的性感女打仔形象走紅全球但在最新大咖雲集的爆笑喜劇電影激愛 中改走搞笑路線變身飾演和超人鬧分手的女友露易絲蓮恩並在回復單身後不耐寂寞地馬上跑去參加快閃約會 和由賈斯汀隆"," 編輯            來自          ","還有跟那個肌肉男閃電的關係  根本可有可無  閃電被打爆以後就跑來裝麻吉","→ 沒有重開機的必要啊  ","→ 動作完全沒有力學跟美學在裡面 只不過是個痞子  ","噓 新版大勝舊版   ","接著走到雪地","視上就是因為年齡文化思想的代溝成人與孩童或青年才會有層出不絕的爭執","","","","值得注意的是無論入選哪個單元只要是第一部長片皆可角逐的金攝影機獎今年","推 這樣一來第一集就是喜劇結尾囉 可憐的女靈媒  ","一半膠片工業技術的功能很強大但手工業原始簡陋的創作狀態意義在於對一個","","→ 錢省下來去看影展引進的獨立製片租的前幾版電影來看  "," 在當時是很不必要的一句教誨  我都還沒看出來主角哪邊展現出了不起的能力","","推 只有  ","","","","推    ","逃離德黑蘭好萊塢的一種自戀","      新珍珠","吳宇森的飛虎群英則雙向併行在大陸推出上下集電影國際版則是小時迷你影集","→ 瘋狂假面  ","要吃下大卡我多殺了好多隻雞","推      ","","保險箱公司偷工減料這就更扯了所以你老爸是去買一個市售的保險箱來變魔術","推 你的一句話短評讓我想到鋼鐵人   ","而嶄新的生命則從老去的生命裡開始了最原始對於死亡的恐懼","始喜歡從喜劇的角度去看待一些事情也希望能帶給觀眾這種東西可惜這麼多年一直沒","","新京報憂鬱的氣質是影迷賦予你的標籤對此你認同嗎","→ 博士以為是虛擬世界沒想到是模擬世界這樣  ","後從政的他看似把過去的包袱拋在腦後但當過去追上他時我們看到了他真","推 可以一看  ","推 無極啊 跑步速度超越光速喔  ","","→ 響不大配音就好口條差的影帝可多著了郭富成等一干港  ","影裡表面上保留了許多細節讓觀眾看到  嘗試理解笑話的笑點在哪把","推 老人吃奶                               ","推 我倒覺得梁朝偉影帝得多是贏在他很適合文藝腔的電影  ","","識到可能再這麼累一次就沒有辦法繼續下去了所以我想把這一部拍成最有我個人特色","","預告","推 聽風者的感覺的確不好已顯疲態但和電影本身有很大關係  ","推 穿成這樣的確很難注意到臉  ","女性演員大家覺得有斷層的更嚴重嗎也想聽聽看版友們推薦的女生候選人","推 居然沒邱淑貞  ","推 張曼玉  吳君如  演什麼像什麼  ","視只有兩個頻道而今天在法國可以看到的頻道就有上百個其次就是來自的競爭","間出現了越來越大的鴻溝","能否幫助我們一下這在過去可是從來沒有發生過的坎城僅僅邀請入圍影片的導演和","可以分辨誰是鬼的驅鬼方法揭穿小奈的詭計救回小邁","","","推 以電影的風格比較適合拍成電視影集  ","根據新華社報導凱森柏格談到夢工廠年上海成立的合資企業東方夢工廠他說","推 好險你沒看完後半個小時 不然就變負雷了  ","→ 都像大尾一樣抄短線到頭來看看國片有了好票房等不等同  ","圍除了在對白上有所著墨以外傳統遊戲人物的相關畫面和動作也","","推 我覺得五超難看 六還好一點  ","於是他一咬牙將這元錢拿了出來","想找","推 分手說愛你重複看超級好看的  ","而後 老闆將蓮實驅逐出境這樣","推 老人拿柺杖不是一定要跛腳吧只是為了保護關節而已  ","推 等二輪  ","    真的只能用毫無冷場來形容              朋友表示預告片場景已有","很可惜他辦不到","","好萊塢最性感男星布萊德利庫柏 繼演出派特的幸福劇本晉升為奧斯卡影帝入圍後身價水漲船高不僅片酬不可同日而語電影作品更是一部接一部被美國影評譽為生涯最棒演技作品末路車神    即將在本週五月日全台上映布萊德利庫柏因其帥氣的外表又帶著壞男孩的氣質一直都是大型商業片的最愛但他曾表示在看過雷恩葛斯林和導演戴瑞克席安佛蘭斯","推 威兒剛  ","","推 有人應該是看錯新聞  ","身母親形象而她的中年扮相也依然風韻猶存自然動人的母愛詮釋更是有口皆碑正","","","→ 不用講什麼要斃了誰這種話真讓版友上戰場可能躲得比厄  ","→ 玩命關頭比這部片還鳥  "
"5","其實之前一直都很想看","飾演的羅賓和大爆自己和超人的性事完全推翻超人的英勇形象首次演出這種無厘頭搞笑電影的鄔瑪舒曼說光看劇本就讓我大笑這真的是好萊塢影史最惡搞的電影而在電影中飾演羅賓的賈斯汀隆則搞笑地說雖然不是正統的英雄但我終於如願以償地演出英雄角色而且還可以和鄔瑪舒曼約會","推 精辟  ","","推 你會被說你不懂漫畫  ","噓 噓一下好了  ","噓 新版勝  ","不過暖身體的藥水沒有","無法體諒因此漂流社群藉由父親尋找失蹤女兒要說明的就是這項議題","名導馬丁史柯西斯將於明年夏天來台拍攝新片沉默法新社","","為了完成這一使命一道表面看不見的電影批評封鎖線建立起來除上述領軍的百","被新加坡導演陳哲藝的爸媽不在家抱走這部電影的企畫案入選過年金馬創投會","推 陰兒房是年內根手指數的出來有嚇到的鬼片  ","人的鍛煉我自己就是這樣鍛煉出來的所以我老把自己叫作手藝人就是不想抬高職業","作者 看板標題問片 一部趙正平有客串的台片時間     ","推 都不是很好看個人觀感啦  ","你電影有看清楚嗎","","推 爛蕃茄更差  ",""," 發信站 批踢踢實業坊","伊恩薩默海爾德","推    ","","港格理芬著    ","","→ 阿凡達　預告看到背景星球場景　幾乎都會想入場看  ","","→ 玩命關頭  ","","我非常懷疑即使是沒有變形這魔術要怎麼完成好吧即使這因為是用市售的保險箱","噓 到底在對爽片認真甚麼  ","","有碰到一個好的喜劇劇本","新京報很多影迷說阿飛正傳片尾三分鐘的梁朝偉也會是春光乍泄裡的梁朝偉","","→                           平行宇宙  ","心的懺悔然而過去的傷害卻無法挽救的兒子的兒子都","推 看完就造反了  ","→ 派特的幸福劇本如果現實中跑步都會被正妹追的話就好了  ","大家覺得呢","→ 星哪個口條好過了  ","身上器官一個個換掉以獲得人類的感官在面臨生死無常的恆常時感到無法接","→ 樓上的連結很恐怖 千萬不要點 上次就是有一個人點了之後   ","→ 他的罩門大概是沒辦法演那種氣場很強大的角色  ","","的故事","其實單純論演技 這兩人真的不相上下","","→ 後段也是回應某些板友的推文 演員真的要慎選角色才能發揮  ","推 跟洋基隊一樣 大家都看他們的制服  ","","推 關之琳雖然演技了了但她演出了最美麗的十三姨  ","推 張曼玉 新一點的就推楊千嬅  ","","","兩位演員來坎城的三天費用現在有人會要求再增加一個演員延長幾天住宿這充分",""," 發信站 批踢踢實業坊 ","作者 港股達人看板標題無雷普通到不能再普通的地球過後 別看 時間     ","推 本版有篇此片時間軸的說明對劇情了解很重要  ","我們正在著手建立一家本地品牌娛樂公司來製作世界級的電影電視動畫並且是","","→ 國片有長進  ","刻意做出當時的感覺看到很多傳統遊戲的反派圍在一起聚會的橋段","","推 我覺得這篇還不錯阿  ","","","→    ","推 第一個不是類似事後追述那種感覺嗎  ","推 中階主管就是會裝死啊  ","推 奈沙馬蘭的片都很奇妙  ","","","","合作的藍色情人節後就一直想挑戰這種複雜的角色他說這種帶有挑戰及衝擊性的電影才是我的最愛末路車神無疑是啟發我的作品之一它讓我在之後的每部電影中都有更好的表現末路車神不僅被美國娛樂週刊評為年度傑出犯罪劇情電影今日試片結束後更有不少影評表示末路車神不僅是導演戴瑞克席安佛蘭斯又一嘔心瀝血之作演員包括布萊德利庫柏雷恩葛斯林伊娃曼德絲的表現更是扣人心弦","推 雖說是威爾史密斯砸錢幫他兒子推知名度電影 但越推越糟    ","","→ 新聞是說醉後裡面的老周這個角色是台裔演員是韓裔  ","因為如此據傳潘妮洛普已經成為最新一任龐德女郎","非常的緩慢完全注重在鋪陳人物關係很多關鍵的劇情都是在這裡發生像是凱文"," 發信站 批踢踢實業坊","→ 本還快子彈抓得比厄本還多  "," 編輯        來自          "
"6","但行程一直很不順","","推 瓦肯過後  ","但請問與閃電的關係  他來裝麻吉努力和主角勾肩搭臂  有必要演出來嗎","推 完全同意你的觀點這部片的評價竟然還不錯讓我一直很費  ","噓 漫畫 彼得就是這麼白吃的一個人  ","推 新版超難看 看完全不記得在演啥  ","所以就倒在地上又了","","","實際就是不可與外人聯手對付行內人若越這條界則形同自絕於業內再無後路另一","慕大三角外還有電視廣角新觀察家等這些電影記","議陳哲藝也是金馬電影學院學員這座象徵最佳新導演的獎項也意味今年金","推 兒子是鋼鐵人裡的可愛小男孩  ","的偉大感","以前偶然得知一部台灣片子","→ 推我們需要更多的負雷 請看地球過後   ","回歸基本面一下下  台詞只說了責任很重要 跟能力無關好嗎"," 發信站 批踢踢實業坊","→ 金酸梅有望  ","","◆  ","","","陳林俠","","","推 淚推賽德克巴萊預告超精彩 正片輸了  ","雖然片中絕對不乏秀肌肉但休傑克曼說這並不只是外表的東西","推 講到警察片   是你不二的選擇   ","阮莞 只是在下一段旅程前暫時離場了永遠地活在青春裡","來變魔術才更有噱頭的號招好了人家保險箱並沒有保固說你丟到河中不會變形阿我相","推 鋼鐵人的壞人才是因鼻屎事大怒吧  ","於是我們繼續繁衍繼續輪迴在這樣的世界裡","","直到花樣年華你會不會覺得王家衛電影裡的梁朝偉似乎演的都是同","梁朝偉我是這樣的人小時候就是這樣很憂鬱因為家庭的關係有些東西如果你沒","這就是問題所在","已走上了難回頭的路諷刺的是正是尚未泯滅的良心以及無法解脫的罪","→ 這種時候看怪客是要培養革命的種子嗎   ","推 冰原快跑人  ","我快絞盡腦汁最後敗在口條這關","推 口條的確不是決定影帝的必要條件但一個演員被否定的話口  ","受但你始終無法揮除這一切都只是為了跟他仰慕的女性在一起的感覺為了","推                    多拉夢在跟胖虎                    ","推 樓上看太少了  ","    年六月四日中國北京天安門廣場發生大屠殺","","","電影介紹","推 慎選角色也就是粉絲們的祈禱演員很多時候身不由己香港  ","推   建議當作外傳來看一堆設定都亂弄  "," 我是有想到葉德嫻可是又覺得角色呈現好像還是沒有梁家輝那麼多變","推 劉嘉玲現在在香港影壇算沒對手了吧對手都退休了  ","推 邱淑貞 張曼玉 吳君如 最喜歡的三位女星  ","","雅各是的作家電影處在危機之中電影出現了回潮是其因素之一過去像特呂弗裡","證明瞭目前世界經濟的嚴峻形勢","","◆  ","看完這部片的人恐怕不由自主地都會覺得","推 這片很棒 超推的  ","在中國由中國人來為中國人創作並出口到世界其他國家","作者 蕃茄撿到天使羽毛看板標題請益 阿嬤的夢中情人 隨著不同樂器的加入時間     ","→ 開放了又出來哭台灣人都不看國片  ","真的很有趣是本片在懷舊成分上營造得非常成功的一點","","推 哈哈哈哈哈幹嘛這樣這篇不錯啊  ","之後大家將傳呼號印上名片見進出北京電影製片廠像劇組的人就發名片大海撈針","兩個互相喜歡對方的人從頭到尾都沒有在一起 一直維持好朋友的關係","推 那些年從頭到尾都沒有在一起  ","不太像啊 事後追述通常都是在片尾","推 笑慘  ","推 這部電影就是因為他兒子 所以一直吸引不了我  ","三搶富翁","這邊剛開始會以為他是為了早日追上爸爸的腳步而不顧團體的步伐","","","推 我是傳奇跟這部比好看八百萬倍吧  ","可能跟導演和編劇一直都沒換有關係至少從第三集開始玩命關","推 推樓上長知識  ","","","◆  ","推 厄本這角色神在你越是長大越是會認同他  ","推 瞞天過好記得蠻鳥的呀   "
"7","","曾演出蝙蝠俠急凍人我的超人女友等電影的鄔瑪舒曼說自己對超級英雄有崇拜情節但在演出激愛裡露易絲蓮恩的角色後她卻開玩笑地說我應該有好一陣子不能看英雄片了因為我現在滿腦子都是他們在開黃腔的樣子雖然才在去年月生完小孩但日前才和男友阿帕德布森 甜蜜出席坎城影展的鄔瑪舒曼已回復其美豔動人的身材一現身立刻秒殺攝影師的底片","推 你太小看國高中生了小學生可能比較適合  ","","→ 解  ","→ 男生帥就不合理了蜘蛛人就是一個阿宅  ","推 舊版大勝 新版超爛 噓的沒品  ","因為之前幫大鳥打跑野獸","故事的開始講述父親井然有序的生活模式每天上班依照流程消毒進入工作室下","記者鄒念祖綜合報導","方面是在這個國度反叛者被容忍但要看你反叛什麼反叛社會道德和風俗可以走得很","者多出自同一族群帶有明顯的剪除異己抬舉親信的意圖並不在乎法國電影的死活","馬獎台灣導演要面對的強手不再只有香港和大陸了這會不會是更值得省思的電影真相呢","噓 第ㄧ集哪裡讚跟本觀落陰吧  ","","","推 這是在汙辱大亨小傳嗎  ","","◆  ","推 預告片完全不吸引人  ","","推 悲慘世界  ","","作者 大波看板標題負雷   迷魂殺陣 時間     ","","","","→ 不過每年還是會拿藍光出來看一遍  ","並不只是賣肉重要的是可以從身體看出他內在的憤怒所以這並","推 蜘蛛人驚奇再起沒有警察比那個更廢更扯後腿的了  ","","機掉地上摔壞了我能說是相機廠商偷工減料嗎不能嘛人家本來就不是做來給你這樣","推 非常同意  ","","最近這些年我也一直在想電影本來是應該帶給觀眾娛樂的不管是哭是笑其實都是一","一個人","有解決掉它就會一直留在你的心裡會維持很久","","惡感讓他無法好好對待自己兒子終於讓兒子沉淪觀眾看到的不只是父子問","推 刺激 怪客應該也  ","推 蘿拉快跑  ","","→ 條是罪狀之一也許香港導演就是聽他說話不順耳就不用他  ","成就愛情而提升自我也沒什麼不好但這電影並沒有很清楚地給你一個 ","推                                     偷看靜香洗澡       ","→ 其實我可以想像年輕一點的周潤發演花樣年華但我沒辦法  ","至今已年今天讓我們來看坦克人這部紀錄片吧回顧這段傷痛的歷史","","也各有風格跟優缺點","在海邊出生幼時隨著母親北上定居米雪早已忘記自己體內的海洋基因在母親的命令","→ 出身的大明星們電影生涯最勵志的一點就是爛片也能磨  ","→ 要隱藏身份的話沒想過面具嗎  ","另外永遠的洪興十三妹吳君如算戲路多變吧可好像也無法說是 最會演","推 劉嘉玲有澤東這麼強硬的後臺她今年不是有電影入圍坎城  ","推 推苑瓊丹  ","儘管買一部影片目前比一張電影票還稍貴一點但人們可以自己錄製我就有一台","維特羅邁爾等等他們一個人拍片什麼都是自己來從頭到尾而現在劇作者又回來","","活動參加條件只要您是台南市市民需滿歲","→ 是右手無名指  ","這部片的功能除了讓讓威爾史密斯的兒子多出現再螢光幕前","推 小說真的好多了  ","","我想找片中提到的一首曲子","噓 自己沒進軍的時候就不吭聲  ","","","推 同意  ","般地找活兒儘管這樣效果並不明顯","","推 新娘不是我不過女角對男角應該也只是朋友關係  ","而且會跟電影裡的對話分的很清楚 有點類似結論這樣","","推 我又被預告騙了嗎  ","","","在尋找機體尾翼的過程中","名導戴瑞克席安佛蘭斯為電影末路車神花了年的時間籌備除了原本就寫劇本初期時就已談好的雷恩葛斯林外在電影中詮釋一位滿懷抱負卻得一輩子活在陰影下的警察的布萊德利庫柏更是戴瑞克席安佛蘭斯一開始就決定的不二人選而布萊德利庫柏在末路車神的動人演技也果真獲得如雷好評導演戴瑞克席安佛蘭斯曾表示這個角色只有布萊德利庫柏能演曾有記者問他若是布萊德利庫柏不能配合演出該怎麼辦戴瑞克席安佛蘭斯則說為了布萊德利庫柏如果要我像拍藍色情人節一樣花我年我也願意的","推 威爾剛～大推哈哈哈  ","頭系列是一氣呵成的故事劇情雖然一點都不讓人驚豔甚至讓我","推 某樓好兇哦老周是韓裔好嗎  ","","科斯納飾演的肯特爸對克拉克的教誨以及他是怎麼樣為了不讓克拉克曝露自己的超能"," 編輯     來自         ","→ 這我在文中也有提過 如果換我上了戰場可能比厄本好不了多少  ","→ 海  "
